NS 100
CN0 5412, LN0 102, HN0 3209
CN1 6513, LN1 1203, HN1 4300
CN2 7614, LN2 2304, HN2 5401
CN3 8715, LN3 3405, HN3 6502
CN4 9816, LN4 4506, HN4 7603

CN0 192, LN0 5882, HN0 8989
CN1 1293, LN1 6983, HN1 9080
CN2 2394, LN2 7084, HN2 181
CN3 3495, LN3 8185, HN3 1282
CN4 4596, LN4 9286, HN4 2383

CN0 4105, LN0 9895, HN0 2992
CN1 5206, LN1 996, HN1 3093
CN2 6307, LN2 1097, HN2 4194
CN3 7408, LN3 2198, HN3 5295
CN4 8509, LN4 3299, HN4 6396

CN0 1502, LN0 6292, HN0 9399
CN1 2603, LN1 7393, HN1 490
CN2 3704, LN2 8494, HN2 1591
CN3 4805, LN3 9595, HN3 2692
CN4 5906, LN4 696, HN4 3793

CN0 5324, LN0 14, HN0 3111
CN1 6425, LN1 1115, HN1 4212
CN2 7526, LN2 2216, HN2 5313
CN3 8627, LN3 3317, HN3 6414
CN4 9728, LN4 4418, HN4 7515

CN0 2305, LN0 7095, HN0 192
CN1 3406, LN1 8196, HN1 1293
CN2 4507, LN2 9297, HN2 2394
CN3 5608, LN3 398, HN3 3495
CN4 6709, LN4 1499, HN4 4596

CN0 1290, LN0 6980, HN0 9087
CN1 2391, LN1 7081, HN1 188
CN2 3492, LN2 8182, HN2 1289
CN3 4593, LN3 9283, HN3 2380
CN4 5694, LN4 384, HN4 3481

CN0 4293, LN0 9983, HN0 2080
CN1 5394, LN1 84, HN1 3181
CN2 6495, LN2 1185, HN2 4282
CN3 7596, LN3 2286, HN3 5383
CN4 8697, LN4 3387, HN4 6484

CN0 1382, LN0 6072, HN0 9179
CN1 2483, LN1 7173, HN1 270
CN2 3584, LN2 8274, HN2 1371
CN3 4685, LN3 9375, HN3 2472
CN4 5786, LN4 476, HN4 3573

CN0 3102, LN0 8892, HN0 1999
CN1 4203, LN1 9993, HN1 2090
CN2 5304, LN2 94, HN2 3191
CN3 6405, LN3 1195, HN3 4292
CN4 7506, LN4 2296, HN4 5393

CN0 4192, LN0 9882, HN0 2989
CN1 5293, LN1 983, HN1 3080
CN2 6394, LN2 1084, HN2 4181
CN3 7495, LN3 2185, HN3 5282
CN4 8596, LN4 3286, HN4 6383

CN0 4093, LN0 9783, HN0 2880
CN1 5194, LN1 884, HN1 3981
CN2 6295, LN2 1985, HN2 4082
CN3 7396, LN3 2086, HN3 5183
CN4 8497, LN4 3187, HN4 6284

CN0 2491, LN0 7181, HN0 288
CN1 3592, LN1 8282, HN1 1389
CN2 4693, LN2 9383, HN2 2480
CN3 5794, LN3 484, HN3 3581
CN4 6895, LN4 1585, HN4 4682

CN0 3104, LN0 8894, HN0 1991
CN1 4205, LN1 9995, HN1 2092
CN2 5306, LN2 96, HN2 3193
CN3 6407, LN3 1197, HN3 4294
CN4 7508, LN4 2298, HN4 5395

CN0 1205, LN0 6995, HN0 9092
CN1 2306, LN1 7096, HN1 193
CN2 3407, LN2 8197, HN2 1294
CN3 4508, LN3 9298, HN3 2395
CN4 5609, LN4 399, HN4 3496

CN0 4325, LN0 9015, HN0 2112
CN1 5426, LN1 116, HN1 3213
CN2 6527, LN2 1217, HN2 4314
CN3 7628, LN3 2318, HN3 5415
CN4 8729, LN4 3419, HN4 6516

CN0 4390, LN0 9080, HN0 2187
CN1 5491, LN1 181, HN1 3288
CN2 6592, LN2 1282, HN2 4389
CN3 7693, LN3 2383, HN3 5480
CN4 8794, LN4 3484, HN4 6581

CN0 5304, LN0 94, HN0 3191
CN1 6405, LN1 1195, HN1 4292
CN2 7506, LN2 2296, HN2 5393
CN3 8607, LN3 3397, HN3 6494
CN4 9708, LN4 4498, HN4 7595

CN0 5403, LN0 193, HN0 3290
CN1 6504, LN1 1294, HN1 4391
CN2 7605, LN2 2395, HN2 5492
CN3 8706, LN3 3496, HN3 6593
CN4 9807, LN4 4597, HN4 7694

CN0 1405, LN0 6195, HN0 9292
CN1 2506, LN1 7296, HN1 393
CN2 3607, LN2 8397, HN2 1494
CN3 4708, LN3 9498, HN3 2595
CN4 5809, LN4 599, HN4 3696

CN0 4190, LN0 9880, HN0 2987
CN1 5291, LN1 981, HN1 3088
CN2 6392, LN2 1082, HN2 4189
CN3 7493, LN3 2183, HN3 5280
CN4 8594, LN4 3284, HN4 6381

CN0 392, LN0 5082, HN0 8189
CN1 1493, LN1 6183, HN1 9280
CN2 2594, LN2 7284, HN2 381
CN3 3695, LN3 8385, HN3 1482
CN4 4796, LN4 9486, HN4 2583

CN0 3182, LN0 8872, HN0 1979
CN1 4283, LN1 9973, HN1 2070
CN2 5384, LN2 74, HN2 3171
CN3 6485, LN3 1175, HN3 4272
CN4 7586, LN4 2276, HN4 5373

CN0 1403, LN0 6193, HN0 9290
CN1 2504, LN1 7294, HN1 391
CN2 3605, LN2 8395, HN2 1492
CN3 4706, LN3 9496, HN3 2593
CN4 5807, LN4 597, HN4 3694

CN0 2170, LN0 7860, HN0 967
CN1 3271, LN1 8961, HN1 1068
CN2 4372, LN2 9062, HN2 2169
CN3 5473, LN3 163, HN3 3260
CN4 6574, LN4 1264, HN4 4361

CN0 1380, LN0 6070, HN0 9177
CN1 2481, LN1 7171, HN1 278
CN2 3582, LN2 8272, HN2 1379
CN3 4683, LN3 9373, HN3 2470
CN4 5784, LN4 474, HN4 3571

CN0 3201, LN0 8991, HN0 1098
CN1 4302, LN1 9092, HN1 2199
CN2 5403, LN2 193, HN2 3290
CN3 6504, LN3 1294, HN3 4391
